Language, English, Russian,

STR_SAR_CLASS_NAME, SARMAT: Russian architecture, САРМАТ: Русская архитектура и обьекты,

STR_SAR_RUINS_NAME, Ruins, Руины
STR_SAR_NAME_OBJECT_052, Wood fence, Заборчик из бревен
STR_SAR_NAME_OBJECT_053, Stump, Пень дерева
STR_SAR_NAME_OBJECT_054, Broken ladder, Сломанная железная лестница
STR_SAR_NAME_OBJECT_055, Wood boxes, 5 деревянных продуктовых ящиков
STR_SAR_NAME_OBJECT_056, small barricade, Небольшая барикада
STR_SAR_NAME_OBJECT_057, Fallen wood fence, Сломанный деревянный забор
STR_SAR_NAME_OBJECT_058, Four tractor tyres, 4 ската от трактора
STR_SAR_NAME_OBJECT_059, Small cart, Строительная тележка
STR_SAR_NAME_OBJECT_060, Old wood fence, Старый забор из деревьев
STR_SAR_NAME_OBJECT_061, Another old wood trees, Старый забор из деревьев_2
STR_SAR_NAME_OBJECT_062, Shower, Душевая кабина уличная
STR_SAR_NAME_OBJECT_063, Stand for wood sawing, Подставка для пилки дров
STR_SAR_NAME_OBJECT_064, Small broken car, Разбитая инвалидка
STR_SAR_NAME_OBJECT_065, Stack of firewoods, Штабель дров
STR_SAR_NAME_OBJECT_066, Pay phone, Телефонная будка
STR_SAR_NAME_OBJECT_067, Fire and dust, Место для костра и мусор
STR_SAR_NAME_OBJECT_068, Sandbags, Укрепление из мешков с песком
STR_SAR_NAME_OBJECT_069, Broken wood fence, Сломанный деревянный заборчик
STR_SAR_NAME_OBJECT_070, Boxes, Склад ящиков
STR_SAR_NAME_OBJECT_071, Russian gravestone Red star, Надгробие звезда
STR_SAR_NAME_OBJECT_072, Russian grave Red star, Могила звезда
STR_SAR_NAME_OBJECT_073, Old wood table, Кладбищенский столик
STR_SAR_NAME_OBJECT_074, Stack of logs, Штабель бревен
STR_SAR_NAME_OBJECT_075, Field camp, Полевой лагерь костер окурки матрасы
STR_SAR_NAME_OBJECT_076, Army bed, Двухярусная кровать
STR_SAR_NAME_OBJECT_077, Wood house, Деревянный дом
STR_SAR_NAME_OBJECT_078, 1_Brick house without objects, Кирпичный дом без обьектов_1
STR_SAR_NAME_OBJECT_079, 2_Brick house without objects, Кирпичный дом без обьектов_2
STR_SAR_NAME_OBJECT_080, 3_Brick house without objects, Кирпичный дом без обьектов_3
STR_SAR_NAME_OBJECT_081, 4_Brick house without objects, Кирпичный дом без обьектов_4
STR_SAR_NAME_OBJECT_082, 5_Brick house without objects, Кирпичный дом без обьектов_5
STR_SAR_NAME_OBJECT_083, 6_Brick house without objects, Кирпичный дом без обьектов_6
STR_SAR_NAME_OBJECT_084, 7_Brick house without objects, Кирпичный дом без обьектов_7
STR_SAR_NAME_OBJECT_085, Wood well, Деревянный колодец
STR_SAR_NAME_OBJECT_086, Burned BMP, Сгоревший БМП
STR_SAR_NAME_OBJECT_087, Container with radioactive materials, Контейнер радиоактивные материалы
STR_SAR_NAME_OBJECT_088, Small wood church, Маленькая деревянная церквушка
STR_SAR_NAME_OBJECT_089, AK47 on tomb, Калашников воткнутый в землю штыком
STR_SAR_NAME_OBJECT_090, Old wood well, Старый колодец
STR_SAR_NAME_OBJECT_091, Big factory building with a fence and gates, Большое здание предприятия забор бетонный и ворота
STR_SAR_NAME_OBJECT_092, big factory building without fence, Большое здание предприятия без забора
STR_SAR_NAME_OBJECT_093, Two sections of new fence, 2 секции забора нового
STR_SAR_NAME_OBJECT_094, Farm house with fence, Коровник с обьектами
STR_SAR_NAME_OBJECT_095, farm house without objects, Коровник без обьектов
STR_SAR_NAME_OBJECT_096, Radiotower, Радиовышка
STR_SAR_NAME_OBJECT_097, Water-tower with a fence, Водонапорная башня с забором
STR_SAR_NAME_OBJECT_098, Water-tower without fence, Водонапорная башня без забора
STR_SAR_NAME_OBJECT_099, Destroyed brick fence, Развалины кирпичного забора
STR_SAR_NAME_OBJECT_100, Fire departament building, Здание пожарной части
STR_SAR_NAME_OBJECT_101, Office house, Офисное здание
STR_SAR_NAME_OBJECT_102, Watchtower, Сторожевая вышка
STR_SAR_NAME_OBJECT_104, 2 tanks, 2 Цистерны
STR_SAR_NAME_OBJECT_105, Large crane, Строительный кран
STR_SAR_NAME_OBJECT_106, Builded building, Строящееся большое здание
STR_SAR_NAME_OBJECT_107, Pack of pipes, Стопка больших труб
STR_SAR_NAME_OBJECT_108, Concrete slabs, Стопка бетонных плит
STR_SAR_NAME_OBJECT_109, Building dust, Металлоконструкция
STR_SAR_NAME_OBJECT_110, Damaged helicopter, Поврежденный вертолет
STR_SAR_NAME_OBJECT_111, KamAZ with a tent, КАМАЗ с кунгом
STR_SAR_NAME_OBJECT_112, Firetruck, Пожарная машина ЗИЛ
STR_SAR_NAME_OBJECT_113, Devil wood, Дьявольский лес
STR_SAR_NAME_OBJECT_114, Zil 130, ЗИЛ-130 бортовой
STR_SAR_NAME_OBJECT_115, Police post, Пост ГАИ шлагбаум
STR_SAR_NAME_OBJECT_116, Bus, Автобус ЛАЗ
STR_SAR_NAME_OBJECT_117, Zil 130 dump-truck, ЗИЛ самосвал
STR_SAR_NAME_OBJECT_118, Crashed Uaz, Разбитый УАЗ
STR_SAR_NAME_OBJECT_119, Garage, Железный гараж
STR_SAR_NAME_OBJECT_120, Excavator,Экскаватор 
